fid,objectid,jrstatcode,gm_code,gm_naam,water,jaar
111,111,2025GM0715,GM0715,Terneuzen,NEE,2025
112,112,2025GM0613,GM0613,Albrandswaard,NEE,2025
115,115,2025GM0758,GM0758,Breda,NEE,2025
116,116,2025GM0848,GM0848,Son en Breugel,NEE,2025
117,117,2025GM0232,GM0232,Epe,NEE,2025
118,118,2025GM0840,GM0840,Rucphen,NEE,2025
119,119,2025GM1696,GM1696,Wijdemeren,NEE,2025
121,121,2025GM1676,GM1676,Schouwen-Duiveland,NEE,2025
122,122,2025GM0312,GM0312,Bunnik,NEE,2025
123,123,2025GM0737,GM0737,Tytsjerksteradiel,NEE,2025
124,124,2025GM1942,GM1942,Gooise Meren,NEE,2025
125,125,2025GM1507,GM1507,Horst aan de Maas,NEE,2025
126,126,2025GM0405,GM0405,Hoorn,NEE,2025
127,127,2025GM0880,GM0880,Wormerland,NEE,2025
128,128,2025GM0873,GM0873,Woensdrecht,NEE,2025
129,129,2025GM1719,GM1719,Drimmelen,NEE,2025
130,130,2025GM0762,GM0762,Deurne,NEE,2025
131,131,2025GM0748,GM0748,Bergen op Zoom,NEE,2025
132,132,2025GM0546,GM0546,Leiden,NEE,2025
133,133,2025GM0059,GM0059,Achtkarspelen,NEE,2025
136,136,2025GM0489,GM0489,Barendrecht,NEE,2025
137,137,2025GM1695,GM1695,Noord-Beveland,NEE,2025
138,138,2025GM0437,GM0437,Ouder-Amstel,NEE,2025
139,139,2025GM0935,GM0935,Maastricht,NEE,2025
140,140,2025GM1667,GM1667,Reusel-De Mierden,NEE,2025
141,141,2025GM0184,GM0184,Urk,NEE,2025
143,143,2025GM0168,GM0168,Losser,NEE,2025
145,145,2025GM0014,GM0014,Groningen,NEE,2025
146,146,2025GM0542,GM0542,Krimpen aan den IJssel,NEE,2025
147,147,2025GM0351,GM0351,Woudenberg,NEE,2025
148,148,2025GM0213,GM0213,Brummen,NEE,2025
150,150,2025GM0451,GM0451,Uithoorn,NEE,2025
151,151,2025GM0034,GM0034,Almere,NEE,2025
152,152,2025GM0406,GM0406,Huizen,NEE,2025
153,153,2025GM1700,GM1700,Twenterand,NEE,2025
154,154,2025GM1730,GM1730,Tynaarlo,NEE,2025
155,155,2025GM0512,GM0512,Gorinchem,NEE,2025
156,156,2025GM0233,GM0233,Ermelo,NEE,2025
157,157,2025GM0243,GM0243,Harderwijk,NEE,2025
158,158,2025GM0503,GM0503,Delft,NEE,2025
159,159,2025GM0345,GM0345,Veenendaal,NEE,2025
161,161,2025GM0385,GM0385,Edam-Volendam,NEE,2025
162,162,2025GM0344,GM0344,Utrecht,NEE,2025
163,163,2025GM1525,GM1525,Teylingen,NEE,2025
164,164,2025GM1903,GM1903,Eijsden-Margraten,NEE,2025
165,165,2025GM0938,GM0938,Meerssen,NEE,2025
169,169,2025GM0096,GM0096,Vlieland,NEE,2025
170,170,2025GM0400,GM0400,Den Helder,NEE,2025
171,171,2025GM1709,GM1709,Moerdijk,NEE,2025
174,174,2025GM0757,GM0757,Boxtel,NEE,2025
175,175,2025GM0397,GM0397,Heemstede,NEE,2025
176,176,2025GM0399,GM0399,Heiloo,NEE,2025
178,178,2025GM0109,GM0109,Coevorden,NEE,2025
179,179,2025GM1690,GM1690,De Wolden,NEE,2025
180,180,2025GM0824,GM0824,Oisterwijk,NEE,2025
181,181,2025GM0296,GM0296,Wijchen,NEE,2025
182,182,2025GM0160,GM0160,Hardenberg,NEE,2025
183,183,2025GM0765,GM0765,Pekela,NEE,2025
185,185,2025GM0297,GM0297,Zaltbommel,NEE,2025
188,188,2025GM0851,GM0851,Steenbergen,NEE,2025
189,189,2025GM0072,GM0072,Harlingen,NEE,2025
190,190,2025GM0200,GM0200,Apeldoorn,NEE,2025
191,191,2025GM1891,GM1891,Dantumadiel,NEE,2025
192,192,2025GM0327,GM0327,Leusden,NEE,2025
193,193,2025GM0273,GM0273,Putten,NEE,2025
194,194,2025GM0394,GM0394,Haarlemmermeer,NEE,2025
195,195,2025GM0867,GM0867,Waalwijk,NEE,2025
197,197,2025GM0796,GM0796,'s-Hertogenbosch,NEE,2025
198,198,2025GM0626,GM0626,Voorschoten,NEE,2025
199,199,2025GM0214,GM0214,Buren,NEE,2025
200,200,2025GM0246,GM0246,Heerde,NEE,2025
201,201,2025GM0228,GM0228,Ede,NEE,2025
202,202,2025GM0453,GM0453,Velsen,NEE,2025
203,203,2025GM0396,GM0396,Heemskerk,NEE,2025
